"miRNA","D0SAG1","D0SAG2","D7SAG1","D7SAG2"
"mmu-miR-10a-5p",86,67,823,244
"mmu-miR-122-5p",566,184,71,31
"mmu-miR-124-3p",5684,2669,1293,581
"mmu-miR-124-5p",171,91,44,20
"mmu-miR-1247-3p",51,35,10,12
"mmu-miR-1247-5p",303,204,85,81
"mmu-miR-1264-3p",286,105,23,5
"mmu-miR-126a-3p",1027,1219,684,423
"mmu-miR-129-1-3p",78,63,32,24
"mmu-miR-129-5p",4741,4419,1480,1155
"mmu-miR-1298-3p",82,37,5,3
"mmu-miR-1298-5p",3838,1156,126,53
"mmu-miR-132-3p",8763,7446,2811,2765
"mmu-miR-136-5p",2884,3394,10983,8193
"mmu-miR-142a-3p",208,359,2384,2312
"mmu-miR-142a-5p",1091,1414,9769,10061
"mmu-miR-146a-5p",4043,4853,11860,11716
"mmu-miR-146b-5p",3822,3503,12358,7564
"mmu-miR-154-3p",1555,2219,5752,3798
"mmu-miR-17-3p",6913,5292,2995,2976
"mmu-miR-17-5p",26961,22450,11841,9855
"mmu-miR-181a-2-3p",251,207,614,544
"mmu-miR-181c-5p",4560,4442,2489,2120
"mmu-miR-182-5p",4169,2382,1205,641
"mmu-miR-183-5p",2943,1481,824,407
"mmu-miR-184-3p",213,257,2520,2121
"mmu-miR-188-3p",42,26,96,96
"mmu-miR-188-5p",165,136,519,412
"mmu-miR-18a-3p",183,141,70,61
"mmu-miR-18a-5p",3974,3664,1667,1397
"mmu-miR-193a-5p",1925,1762,886,789
"mmu-miR-193b-3p",2343,1911,7394,5973
"mmu-miR-193b-5p",66,63,170,141
"mmu-miR-195a-5p",1100,1324,4243,2559
"mmu-miR-1981-5p",1126,981,588,481
"mmu-miR-199b-5p",121131,98355,283280,227353
"mmu-miR-19b-3p",33100,34873,18974,15479
"mmu-miR-203-3p",352,338,1551,806
"mmu-miR-20a-3p",143,162,89,61
"mmu-miR-20a-5p",40035,39086,22286,16813
"mmu-miR-210-3p",9090,7463,23470,16902
"mmu-miR-223-3p",366,754,5598,5547
"mmu-miR-223-5p",32,59,399,335
"mmu-miR-23a-5p",155,138,43,57
"mmu-miR-27a-5p",6802,5566,2491,2113
"mmu-miR-299b-3p",6,11,38,26
"mmu-miR-3061-3p",47,38,8,18
"mmu-miR-3073a-3p",4,10,52,34
"mmu-miR-3075-5p",33,24,7,11
"mmu-miR-30c-5p",54511,36641,143510,78477
"mmu-miR-322-3p",17900,17633,83082,42448
"mmu-miR-322-5p",3393,3836,30142,18004
"mmu-miR-33-3p",68,84,190,173
"mmu-miR-33-5p",156,104,831,754
"mmu-miR-335-3p",3045,5816,29339,12775
"mmu-miR-338-3p",129,131,43,48
"mmu-miR-344d-3p",296,356,128,114
"mmu-miR-34b-5p",2308,2293,8931,7513
"mmu-miR-351-3p",913,726,3848,2968
"mmu-miR-363-3p",33,25,7,6
"mmu-miR-376a-3p",1327,974,2831,2506
"mmu-miR-376b-3p",6785,7432,22005,15595
"mmu-miR-383-5p",265,150,860,518
"mmu-miR-448-3p",233,129,5,4
"mmu-miR-450a-1-3p",203,285,1053,526
"mmu-miR-450b-5p",489,776,5873,2593
"mmu-miR-466i-5p",19,26,91,70
"mmu-miR-483-3p",882,745,300,252
"mmu-miR-497a-3p",4,4,30,24
"mmu-miR-503-3p",811,961,4867,2597
"mmu-miR-503-5p",6484,5267,53731,34207
"mmu-miR-5099",3148,3047,1029,977
"mmu-miR-511-3p",33,73,972,1070
"mmu-miR-511-5p",15,14,223,236
"mmu-miR-5114",1,0,64,59
"mmu-miR-708-3p",1267,820,4103,2614
"mmu-miR-744-5p",40744,28774,17450,15474
"mmu-miR-873a-3p",6,13,51,34
"mmu-miR-873a-5p",72,47,368,303
"mmu-miR-876-5p",12,10,51,41
"mmu-miR-92a-1-5p",174,136,74,53
"mmu-miR-96-5p",1389,723,444,206
"mmu-miR-99a-5p",149227,136745,404554,252257
